Date,AEDIFICA NV/SA,COFINIMMO SA,COVIVIO,GECINA SA,KLEPIERRE SA,LEG IMMOBILIEN SE,MERLIN PROPERTIES SOCIMI SA,TAG IMMOBILIEN AG,UNIBAIL RODAMCO WESTFIELD SE,VONOVIA SE,WAREHOUSES DE PAUW
2019-01-02,0.506971935025058,0.4597709248629549,-1.9790750882144152,-0.7104825623744571,-1.081494785018338,1.243335899074787,-0.1391788672822608,1.0492227155433478,-2.0745464537453118,0.7549104799275937,-1.0471299867295478
2019-01-03,-0.7614249985245405,0.4576667027411893,0.7843177461025879,-0.1784121793501442,-0.5263170044274644,1.4633357742250064,-0.8391657636248402,0.7920833491444058,0.5114331243941573,0.2753788196621087,1.0471299867295436
2019-01-04,-0.638979809877101,0.2735979818874623,1.78682538308459,3.2501762904536338,3.226684524437626,1.083618379820673,1.0710230434721948,1.0789707421380026,3.552064533712846,0.9950330853168092,-0.5221943981151712
2019-01-07,1.020417017424167,0.635499188237722,-0.8894218134458901,-0.6938449344920867,-0.8061604671026843,1.2182465306683412,0.1388567684346192,0.9708814126960904,-0.5808903932300324,0.4445549430564302,0.1743679604826837
2019-01-08,1.0101095986503918,1.4375809120306668,2.1797622970366706,2.662243961095464,3.221998165079345,1.0177676388357773,2.286336444307179,0.7699749301303076,3.111585173598526,0.1477468872557766,0.0
2019-01-09,-0.2515724597247136,-0.4470280130903633,-1.4084739881739086,-0.5097717071668606,-0.2496880198587154,-0.4349183618501878,-1.4572206859090724,0.7640915876178794,1.1789610240296753,-0.5923018303122167,-0.5240186663556159
2019-01-10,0.0,-0.6292155590889132,-0.4145697379706467,1.0169579169629013,-1.0772096981911183,-0.917437627604127,-0.2296212260350268,-0.8600148563638884,-0.041867281331687,-0.6207344574333712,1.0453056852089442
2019-01-11,0.627748451913903,0.9869976938773222,1.8813018111013464,1.006719911772394,0.1803426999150726,1.476271742609128,1.6868419119441012,0.8600148563638806,0.362268753448996,2.8240059574216287,0.5185837032365416
2019-01-14,-1.3862855908395622,0.0,0.4648468567984695,-0.6700192569819562,0.7896667021424761,-0.829020292047391,-0.27161628287777,-0.8600148563638884,0.0556173540476824,0.4348883394339597,2.04785313435407
2019-01-15,-0.7643349312568012,0.0,-0.7564772763772803,0.3355707846972315,-0.609648651727691,0.6224086483001885,-0.3633064849880982,0.4786988557224649,-1.0339619849547703,0.3369437604161706,0.1687764113719614
