"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha",0.02454,0.026076,0.941101,0.346653,"SP500 CESIGL",0.0153432313976546
"gamma",0.252489,0.049507,5.10008,0,"SP500 CESIGL",0.74905592260433
"beta",0.816057,0.030251,26.975983,0,"SP500 CESIGL",1631.78634997824
"m",0.255531,0.290303,0.880222,0.378739,"SP500 CESIGL",9175.375667
"theta",0.001092,0.003672,0.297304,0.766234,"SP500 CESIGL",9212.413735
"w2",1.001122,0.188077,5.322948,0,"SP500 CESIGL",-4581.68783358456
"alpha114",0.02454,0.026076,0.941101,0.346653,"SP500 CESIGL",0.0153432313976546
"gamma114",0.252489,0.049507,5.10008,0,"SP500 CESIGL",0.74905592260433
"beta114",0.816057,0.030251,26.975983,0,"SP500 CESIGL",1631.78634997824
"m114",0.255531,0.290303,0.880222,0.378739,"SP500 CESIGL",9175.375667
"theta114",0.001092,0.003672,0.297304,0.766234,"SP500 CESIGL",9212.413735
"w2114",1.001122,0.188077,5.322948,0,"SP500 CESIGL",-4581.68783358456
"alpha113",0.019223,0.025351,0.758247,0.448303,"SP500 CESIEUR",0.340482916612297
"gamma113",0.252836,0.044473,5.685115,0,"SP500 CESIEUR",0.747734554675133
"beta113",0.823035,0.027835,29.568533,0,"SP500 CESIEUR",1633.2925532961
"m113",0.243455,0.261218,0.931998,0.351337,"SP500 CESIEUR",9171.461009
"theta113",0.003488,0.003577,0.97504,0.329541,"SP500 CESIEUR",9208.499077
"w2113",82.250275,0.093317,881.411814,0,"SP500 CESIEUR",-4579.7305043847
"alpha112",0.020626,0.024419,0.844671,0.398295,"SP500 CESICNY",0.201120336633132
"gamma112",0.254219,0.049412,5.144883,0,"SP500 CESICNY",0.748666049369209
"beta112",0.817498,0.028405,28.780207,0,"SP500 CESICNY",1630.71419589084
"m112",0.22129,0.370075,0.597961,0.549866,"SP500 CESICNY",9173.541195
"theta112",-0.004302,0.005358,-0.802797,0.422092,"SP500 CESICNY",9210.579263
"w2112",1.453504,0.210401,6.908253,0,"SP500 CESICNY",-4580.77059735076
"alpha111",0.022112,0.023989,0.921725,0.356672,"SP500 China_Sust",1.18322367982494
"gamma111",0.257138,0.052228,4.923407,1e-06,"SP500 China_Sust",0.745677543059959
"beta111",0.812051,0.026335,30.834838,0,"SP500 China_Sust",1624.69352914284
"m111",0.142478,0.254254,0.560378,0.575222,"SP500 China_Sust",9163.166143
"theta111",3.03388,0.213546,14.207121,0,"SP500 China_Sust",9200.204211
"w2111",1.057151,0.375954,2.811914,0.004925,"SP500 China_Sust",-4575.58307134039
"alpha110",0.026789,0.027624,0.969772,0.33216,"SP500 GER_Sust",0.334668292761114
"gamma110",0.253105,0.038464,6.580314,0,"SP500 GER_Sust",0.747756018303738
"beta110",0.813774,0.027803,29.269141,0,"SP500 GER_Sust",1632.37245117912
"m110",0.233498,0.16791,1.390611,0.164343,"SP500 GER_Sust",9170.944453
"theta110",2.456134,0.326452,7.523722,0,"SP500 GER_Sust",9207.982521
"w2110",1.745054,0.177726,9.818817,0,"SP500 GER_Sust",-4579.47222651462
"alpha109",0.021828,0.025888,0.843159,0.399139,"SP500 US_Sust",0.164497136911383
"gamma109",0.255243,0.102307,2.494866,0.0126,"SP500 US_Sust",0.748483930721453
"beta109",0.816111,0.038491,21.20276,0,"SP500 US_Sust",1630.23234073563
"m109",0.281794,0.998232,0.282293,0.777719,"SP500 US_Sust",9172.632823
"theta109",-0.917495,1.884271,-0.486923,0.626313,"SP500 US_Sust",9209.67089
"w2109",2.770399,1.043356,2.655277,0.007924,"SP500 US_Sust",-4580.3164112887
"alpha108",0.018332,0.024658,0.743456,0.457206,"SP500 Global_Sust",0.274554877330077
"gamma108",0.260377,0.041644,6.252452,0,"SP500 Global_Sust",0.747755807586992
"beta108",0.815989,0.026487,30.807501,0,"SP500 Global_Sust",1631.12087852851
"m108",0.264383,0.164556,1.606637,0.108134,"SP500 Global_Sust",9170.151754
"theta108",-3.225441,0.324383,-9.943306,0,"SP500 Global_Sust",9207.189822
"w2108",3.091752,0.554392,5.576833,0,"SP500 Global_Sust",-4579.07587693965
"alpha107",0.015569,0.021618,0.720204,0.471399,"SP500 Saudi_GPR",0.57647204314829
"gamma107",0.264229,0.040427,6.536025,0,"SP500 Saudi_GPR",0.746116419165971
"beta107",0.817944,0.021662,37.759222,0,"SP500 Saudi_GPR",1621.16728707139
"m107",0.253447,0.154054,1.645182,0.099932,"SP500 Saudi_GPR",9164.864358
"theta107",-6.71812,0.406666,-16.520011,0,"SP500 Saudi_GPR",9201.902426
"w2107",1.426834,0.197411,7.227735,0,"SP500 Saudi_GPR",-4576.4321791546
"alpha106",0.023085,0.026114,0.884015,0.376688,"SP500 GER_GPR",0.215583844530869
"gamma106",0.256696,0.049829,5.151592,0,"SP500 GER_GPR",0.748592620062004
"beta106",0.814363,0.02902,28.062339,0,"SP500 GER_GPR",1629.56993285839
"m106",0.256076,0.279571,0.915963,0.359686,"SP500 GER_GPR",9173.764035
"theta106",-1.716373,0.14086,-12.184941,0,"SP500 GER_GPR",9210.802103
"w2106",1.921156,0.198402,9.683165,0,"SP500 GER_GPR",-4580.88201772329
"alpha105",0.014506,0.024219,0.598938,0.549214,"SP500 USA_GPR",1.16141368090335
"gamma105",0.262398,0.0464,5.655172,0,"SP500 USA_GPR",0.744907489455853
"beta105",0.819172,0.027982,29.275445,0,"SP500 USA_GPR",1623.44537003616
"m105",0.237728,0.31973,0.743529,0.457162,"SP500 USA_GPR",9160.116715
"theta105",-2.245356,0.271439,-8.272039,0,"SP500 USA_GPR",9197.154783
"w2105",1.437368,0.156887,9.161797,0,"SP500 USA_GPR",-4574.05835746202
"alpha104",0.013101,0.023762,0.551319,0.581415,"SP500 China_GPR",1.07002665874909
"gamma104",0.262312,0.037267,7.038767,0,"SP500 China_GPR",0.743533658311019
"beta104",0.820417,0.024526,33.451554,0,"SP500 China_GPR",1634.30077585235
"m104",0.233024,0.199051,1.170679,0.241728,"SP500 China_GPR",9155.153278
"theta104",-6.487944,0.175878,-36.888847,0,"SP500 China_GPR",9192.191346
"w2104",1.299163,0.184276,7.050108,0,"SP500 China_GPR",-4571.5766390155
"alpha103",0.017339,0.02441,0.710305,0.477515,"SP500 Global_GPR",1.0733424492696
"gamma103",0.26113,0.040469,6.452674,0,"SP500 Global_GPR",0.745609592502649
"beta103",0.817547,0.026842,30.457969,0,"SP500 Global_GPR",1630.93760778141
"m103",0.245843,0.161046,1.526542,0.126875,"SP500 Global_GPR",9162.717843
"theta103",-0.043284,0.01621,-2.670121,0.007582,"SP500 Global_GPR",9199.75591
"w2103",1.78032,0.153462,11.601049,0,"SP500 Global_GPR",-4575.35892125677
"alpha102",0.014975,0.023085,0.648669,0.516552,"SP500 China_EPU",0.821094192473806
"gamma102",0.262204,0.041753,6.279829,0,"SP500 China_EPU",0.746709900026255
"beta102",0.818384,0.02502,32.708596,0,"SP500 China_EPU",1630.59130045318
"m102",-0.080926,0.289445,-0.279589,0.779793,"SP500 China_EPU",9167.530938
"theta102",0.001495,0.000813,1.83857,0.065979,"SP500 China_EPU",9204.569006
"w2102",1.001001,0.332715,3.008582,0.002625,"SP500 China_EPU",-4577.76546910703
"alpha101",1e-04,0.020696,0.004833,0.996144,"SP500 US_EPU",3.91519782664259
"gamma101",0.298023,0.037917,7.859888,0,"SP500 US_EPU",0.728782842809451
"beta101",0.807243,0.020025,40.312108,0,"SP500 US_EPU",1636.4454287808
"m101",-1.049045,0.069299,-15.137854,0,"SP500 US_EPU",9105.06578
"theta101",0.008818,0.001347,6.548603,0,"SP500 US_EPU",9142.103848
"w2101",6.489577,0.153941,42.156356,0,"SP500 US_EPU",-4546.53288996298
"alpha100",1e-04,0.020425,0.004899,0.996091,"SP500 STLStress",2.59190427907558
"gamma100",0.29913,0.036813,8.125732,0,"SP500 STLStress",0.739165612922484
